

============================== EXP at 2025-03-12 19:05:07 ==============================
dev | avg_loss: 10.807488774496411 | {}
train | epoch   0 | Iter:    594/  6960 | global iter:    100/  1160 | loss: 0.5846 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.605 | step time: 9.015
train | epoch   3 | Iter:   4796/  6960 | global iter:    800/  1160 | loss: 0.0001 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.484 | step time: 0.015
train | epoch   3 | Iter:   4797/  6960 | global iter:    800/  1160 | loss: 0.0001 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.488 | step time: 0.015
train | epoch   3 | Iter:   4798/  6960 | global iter:    800/  1160 | loss: 0.0004 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.484 | step time: 0.015
train | epoch   3 | Iter:   4799/  6960 | global iter:    800/  1160 | loss: 0.0000 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.484 | step time: 0.015
train | epoch   3 | Iter:   5394/  6960 | global iter:    900/  1160 | loss: 0.1282 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.713 | step time: 9.206
train | epoch   3 | Iter:   5395/  6960 | global iter:    900/  1160 | loss: 0.0003 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.574 | step time: 0.016
train | epoch   3 | Iter:   5396/  6960 | global iter:    900/  1160 | loss: 0.0000 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.485 | step time: 0.015
train | epoch   3 | Iter:   5397/  6960 | global iter:    900/  1160 | loss: 0.0000 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.486 | step time: 0.015
train | epoch   3 | Iter:   5398/  6960 | global iter:    900/  1160 | loss: 0.0007 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.486 | step time: 0.015
train | epoch   3 | Iter:   5399/  6960 | global iter:    900/  1160 | loss: 0.0001 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.484 | step time: 0.015
dev | avg_loss: 1.375497896992971 | {}
train | epoch   4 | Iter:   5994/  6960 | global iter:   1000/  1160 | loss: 0.1038 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 1.713 | step time: 9.198
