

============================== EXP at 2025-03-13 11:33:06 ==============================


============================== EXP at 2025-03-13 11:33:06 ==============================
dev | avg_loss: 1.7000080366288461 | {}
train | epoch   0 | Iter:    144/ 10950 | global iter:     25/  1825 | loss: 0.1229 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.596 | step time: 8.735
train | epoch   0 | Iter:    445/ 10950 | global iter:     75/  1825 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:    446/ 10950 | global iter:     75/  1825 | loss: 0.0018 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    447/ 10950 | global iter:     75/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    448/ 10950 | global iter:     75/  1825 | loss: 0.0019 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    449/ 10950 | global iter:     75/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    594/ 10950 | global iter:    100/  1825 | loss: 0.1334 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.704
train | epoch   0 | Iter:    595/ 10950 | global iter:    100/  1825 | loss: 0.0027 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:    596/ 10950 | global iter:    100/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    597/ 10950 | global iter:    100/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    598/ 10950 | global iter:    100/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    599/ 10950 | global iter:    100/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    744/ 10950 | global iter:    125/  1825 | loss: 0.1303 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.838
train | epoch   0 | Iter:    745/ 10950 | global iter:    125/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:    746/ 10950 | global iter:    125/  1825 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    747/ 10950 | global iter:    125/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    748/ 10950 | global iter:    125/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    749/ 10950 | global iter:    125/  1825 | loss: 0.0013 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    894/ 10950 | global iter:    150/  1825 | loss: 0.1261 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.601 | step time: 8.710
train | epoch   0 | Iter:    895/ 10950 | global iter:    150/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:    896/ 10950 | global iter:    150/  1825 | loss: 0.0008 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    897/ 10950 | global iter:    150/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    898/ 10950 | global iter:    150/  1825 | loss: 0.0009 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    899/ 10950 | global iter:    150/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1044/ 10950 | global iter:    175/  1825 | loss: 0.1276 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.849
train | epoch   0 | Iter:   1045/ 10950 | global iter:    175/  1825 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:   1046/ 10950 | global iter:    175/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1047/ 10950 | global iter:    175/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1048/ 10950 | global iter:    175/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1049/ 10950 | global iter:    175/  1825 | loss: 0.0025 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.484 | step time: 0.059
train | epoch   0 | Iter:   1194/ 10950 | global iter:    200/  1825 | loss: 0.1360 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.710
train | epoch   0 | Iter:   1195/ 10950 | global iter:    200/  1825 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:   1196/ 10950 | global iter:    200/  1825 | loss: 0.0000 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1197/ 10950 | global iter:    200/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1198/ 10950 | global iter:    200/  1825 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1199/ 10950 | global iter:    200/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1344/ 10950 | global iter:    225/  1825 | loss: 0.1353 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.852
train | epoch   0 | Iter:   1345/ 10950 | global iter:    225/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:   1346/ 10950 | global iter:    225/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1347/ 10950 | global iter:    225/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1348/ 10950 | global iter:    225/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1349/ 10950 | global iter:    225/  1825 | loss: 0.0039 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059


============================== EXP at 2025-03-13 12:12:03 ==============================
train | epoch   0 | Iter:   1494/ 10950 | global iter:    250/  1825 | loss: 0.1016 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.712
train | epoch   0 | Iter:   1495/ 10950 | global iter:    250/  1825 | loss: 0.0043 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:   1496/ 10950 | global iter:    250/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1497/ 10950 | global iter:    250/  1825 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1498/ 10950 | global iter:    250/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.484 | step time: 0.059
train | epoch   0 | Iter:   1499/ 10950 | global iter:    250/  1825 | loss: 0.0044 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
dev | avg_loss: 1.7626753603182141 | {}
train | epoch   0 | Iter:   1644/ 10950 | global iter:    275/  1825 | loss: 0.1116 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.817
train | epoch   0 | Iter:   1645/ 10950 | global iter:    275/  1825 | loss: 0.0014 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:   1646/ 10950 | global iter:    275/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.484 | step time: 0.059
train | epoch   0 | Iter:   1647/ 10950 | global iter:    275/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1648/ 10950 | global iter:    275/  1825 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1649/ 10950 | global iter:    275/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    144/ 10890 | global iter:     25/  1815 | loss: 0.2951 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.724
train | epoch   0 | Iter:    145/ 10890 | global iter:     25/  1815 | loss: 0.0011 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.474 | step time: 0.059
train | epoch   0 | Iter:    146/ 10890 | global iter:     25/  1815 | loss: 0.0031 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    147/ 10890 | global iter:     25/  1815 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    148/ 10890 | global iter:     25/  1815 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    149/ 10890 | global iter:     25/  1815 | loss: 0.0052 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1794/ 10950 | global iter:    300/  1825 | loss: 0.1223 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.710
train | epoch   0 | Iter:   1795/ 10950 | global iter:    300/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:   1796/ 10950 | global iter:    300/  1825 | loss: 0.0008 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1797/ 10950 | global iter:    300/  1825 | loss: 0.0014 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1798/ 10950 | global iter:    300/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1799/ 10950 | global iter:    300/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    294/ 10890 | global iter:     50/  1815 | loss: 0.2901 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.597 | step time: 8.695
train | epoch   0 | Iter:    295/ 10890 | global iter:     50/  1815 | loss: 0.0012 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:    296/ 10890 | global iter:     50/  1815 | loss: 0.0023 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    297/ 10890 | global iter:     50/  1815 | loss: 0.0010 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.479 | step time: 0.059
train | epoch   0 | Iter:    298/ 10890 | global iter:     50/  1815 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    299/ 10890 | global iter:     50/  1815 | loss: 0.0020 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:   1944/ 10950 | global iter:    325/  1825 | loss: 0.1214 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.822
train | epoch   0 | Iter:   1945/ 10950 | global iter:    325/  1825 | loss: 0.0021 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.479 | step time: 0.059
train | epoch   0 | Iter:   1946/ 10950 | global iter:    325/  1825 | loss: 0.0032 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1947/ 10950 | global iter:    325/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1948/ 10950 | global iter:    325/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1949/ 10950 | global iter:    325/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    444/ 10890 | global iter:     75/  1815 | loss: 0.2547 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.812
train | epoch   0 | Iter:    445/ 10890 | global iter:     75/  1815 | loss: 0.0020 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:    446/ 10890 | global iter:     75/  1815 | loss: 0.0022 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    447/ 10890 | global iter:     75/  1815 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    448/ 10890 | global iter:     75/  1815 | loss: 0.0021 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    449/ 10890 | global iter:     75/  1815 | loss: 0.0060 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:   2094/ 10950 | global iter:    350/  1825 | loss: 0.1391 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.717
train | epoch   0 | Iter:   2095/ 10950 | global iter:    350/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:   2096/ 10950 | global iter:    350/  1825 | loss: 0.0010 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   2097/ 10950 | global iter:    350/  1825 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   2098/ 10950 | global iter:    350/  1825 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   2099/ 10950 | global iter:    350/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    594/ 10890 | global iter:    100/  1815 | loss: 0.2940 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.597 | step time: 8.695
train | epoch   0 | Iter:    595/ 10890 | global iter:    100/  1815 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.475 | step time: 0.059
train | epoch   0 | Iter:    596/ 10890 | global iter:    100/  1815 | loss: 0.0014 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    597/ 10890 | global iter:    100/  1815 | loss: 0.0031 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    598/ 10890 | global iter:    100/  1815 | loss: 0.0019 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    599/ 10890 | global iter:    100/  1815 | loss: 0.0023 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    744/ 10890 | global iter:    125/  1815 | loss: 0.2938 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.816
train | epoch   0 | Iter:    745/ 10890 | global iter:    125/  1815 | loss: 0.0024 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:    746/ 10890 | global iter:    125/  1815 | loss: 0.0010 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    747/ 10890 | global iter:    125/  1815 | loss: 0.0013 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    748/ 10890 | global iter:    125/  1815 | loss: 0.0017 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    749/ 10890 | global iter:    125/  1815 | loss: 0.0019 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
dev | avg_loss: 1.5757163503477651 | {}
train | epoch   1 | Iter:   2244/ 10950 | global iter:    375/  1825 | loss: 0.0989 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.711 | step time: 9.043
train | epoch   1 | Iter:   2245/ 10950 | global iter:    375/  1825 | loss: 0.0015 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.569 | step time: 0.063
train | epoch   1 | Iter:   2246/ 10950 | global iter:    375/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   1 | Iter:   2247/ 10950 | global iter:    375/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   1 | Iter:   2248/ 10950 | global iter:    375/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   1 | Iter:   2249/ 10950 | global iter:    375/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    894/ 10890 | global iter:    150/  1815 | loss: 0.2691 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.598 | step time: 8.697
train | epoch   0 | Iter:    895/ 10890 | global iter:    150/  1815 | loss: 0.0012 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.475 | step time: 0.059
train | epoch   0 | Iter:    896/ 10890 | global iter:    150/  1815 | loss: 0.0011 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:    897/ 10890 | global iter:    150/  1815 | loss: 0.0014 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    898/ 10890 | global iter:    150/  1815 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.480 | step time: 0.059
train | epoch   0 | Iter:    899/ 10890 | global iter:    150/  1815 | loss: 0.0031 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.479 | step time: 0.059
train | epoch   1 | Iter:   2394/ 10950 | global iter:    400/  1825 | loss: 0.0666 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.711 | step time: 8.905
train | epoch   1 | Iter:   2395/ 10950 | global iter:    400/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.569 | step time: 0.063
train | epoch   1 | Iter:   2396/ 10950 | global iter:    400/  1825 | loss: 0.0001 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   1 | Iter:   2397/ 10950 | global iter:    400/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.484 | step time: 0.059
train | epoch   1 | Iter:   2398/ 10950 | global iter:    400/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   1 | Iter:   2399/ 10950 | global iter:    400/  1825 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:   1044/ 10890 | global iter:    175/  1815 | loss: 0.2780 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.597 | step time: 8.834
train | epoch   0 | Iter:   1045/ 10890 | global iter:    175/  1815 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.475 | step time: 0.059
train | epoch   0 | Iter:   1046/ 10890 | global iter:    175/  1815 | loss: 0.0018 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:   1047/ 10890 | global iter:    175/  1815 | loss: 0.0010 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:   1048/ 10890 | global iter:    175/  1815 | loss: 0.0004 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.481 | step time: 0.059
train | epoch   0 | Iter:   1049/ 10890 | global iter:    175/  1815 | loss: 0.0032 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
